Key,Desc,table
33,Subsidies: Plastics and rubber products manufacturing,SAGDP5N
22,"Subsidies: Other transportation equipment manufacturing (3364-3466,3369)",SAGDP5N
88,"Subsidies: Trade (42,44-45)",SAGDP5N
3,"Subsidies: Agriculture, forestry, fishing and hunting",SAGDP5N
33,Subsidies: Plastics and rubber products manufacturing (326),SAGDP5N
17,Subsidies: Fabricated metal product manufacturing (332),SAGDP5N
44,Subsidies: Warehousing and storage (493),SAGDP5N
44,Subsidies: Warehousing and storage,SAGDP5N
83,Subsidies: Government and government enterprises (92),SAGDP5N
28,"Subsidies: Apparel, leather, and allied product manufacturing",SAGDP5N
60,"Subsidies: Professional, scientific, and technical services (54)",SAGDP5N
34,Subsidies: Wholesale trade (42),SAGDP5N
73,Subsidies: Nursing and residential care facilities (623),SAGDP5N
10,Subsidies: Utilities (22),SAGDP5N
43,Subsidies: Other transportation and support activities,SAGDP5N
9,Subsidies: Support activities for mining,SAGDP5N
29,Subsidies: Paper manufacturing (322),SAGDP5N
42,Subsidies: Pipeline transportation (486),SAGDP5N
23,Subsidies: Furniture and related product manufacturing (337),SAGDP5N
71,Subsidies: Ambulatory health care services (621),SAGDP5N
91,Subsidies: Private goods-producing industries,SAGDP5N
28,"Subsidies: Apparel, leather, and allied product manufacturing (315-316)",SAGDP5N
90,"Subsidies: Manufacturing and information (31-33,51)",SAGDP5N
16,Subsidies: Primary metal manufacturing,SAGDP5N
84,Subsidies: Federal civilian,SAGDP5N
71,Subsidies: Ambulatory health care services,SAGDP5N
50,"Subsidies: Finance, insurance, real estate, rental, and leasing (52,53)",SAGDP5N
63,"Subsidies: Miscellaneous professional, scientific, and technical services (5412-5414,5416-5419)",SAGDP5N
50,"Subsidies: Finance, insurance, real estate, rental, and leasing",SAGDP5N
36,Subsidies: Transportation and warehousing,SAGDP5N
63,"Subsidies: Miscellaneous professional, scientific, and technical services",SAGDP5N
42,Subsidies: Pipeline transportation,SAGDP5N
35,Subsidies: Retail trade (44-45),SAGDP5N
81,Subsidies: Food services and drinking places,SAGDP5N
16,Subsidies: Primary metal manufacturing (331),SAGDP5N
61,Subsidies: Legal services,SAGDP5N
17,Subsidies: Fabricated metal product manufacturing,SAGDP5N
72,Subsidies: Hospitals (622),SAGDP5N
20,"Subsidies: Electrical equipment, appliance, and component manufacturing (335)",SAGDP5N
87,Subsidies: Natural resources and mining,SAGDP5N
25,"Subsidies: Nondurable goods manufacturing (311-316,322-326)",SAGDP5N
51,Subsidies: Finance and insurance,SAGDP5N
35,Subsidies: Retail trade,SAGDP5N
23,Subsidies: Furniture and related product manufacturing,SAGDP5N
62,Subsidies: Computer systems design and related services (5415),SAGDP5N
11,Subsidies: Construction (23),SAGDP5N
29,Subsidies: Paper manufacturing,SAGDP5N
13,Subsidies: Durable goods manufacturing,SAGDP5N
62,Subsidies: Computer systems design and related services,SAGDP5N
13,"Subsidies: Durable goods manufacturing (321,327-339)",SAGDP5N
72,Subsidies: Hospitals,SAGDP5N
74,Subsidies: Social assistance,SAGDP5N
11,Subsidies: Construction,SAGDP5N
6,"Subsidies: Mining, quarrying, and oil and gas extraction",SAGDP5N
21,"Subsidies: Motor vehicles, bodies and trailers, and parts manufacturing",SAGDP5N
54,Subsidies: Insurance carriers and related activities,SAGDP5N
19,Subsidies: Computer and electronic product manufacturing,SAGDP5N
78,"Subsidies: Amusement, gambling, and recreation industries (713)",SAGDP5N
18,Subsidies: Machinery manufacturing (333),SAGDP5N
82,Subsidies: Other services (except government and government enterprises),SAGDP5N
46,Subsidies: Publishing industries (except Internet) (511),SAGDP5N
78,"Subsidies: Amusement, gambling, and recreation industries",SAGDP5N
55,"Subsidies: Funds, trusts, and other financial vehicles (525)",SAGDP5N
26,Subsidies: Food and beverage and tobacco product manufacturing (311-312),SAGDP5N
55,"Subsidies: Funds, trusts, and other financial vehicles",SAGDP5N
80,Subsidies: Accommodation,SAGDP5N
46,Subsidies: Publishing industries (except Internet),SAGDP5N
77,"Subsidies: Performing arts, spectator sports, museums, and related activities",SAGDP5N
48,Subsidies: Broadcasting (except Internet) and telecommunications,SAGDP5N
52,"Subsidies: Monetary Authorities- central bank, credit intermediation, and related services (521-522)",SAGDP5N
21,"Subsidies: Motor vehicles, bodies and trailers, and parts manufacturing (3361-3363)",SAGDP5N
79,Subsidies: Accommodation and food services (72),SAGDP5N
54,Subsidies: Insurance carriers and related activities (524),SAGDP5N
2,Subsidies: Private industries,SAGDP5N
47,Subsidies: Motion picture and sound recording industries (512),SAGDP5N
30,Subsidies: Printing and related support activities,SAGDP5N
8,Subsidies: Mining (except oil and gas) (212),SAGDP5N
8,Subsidies: Mining (except oil and gas),SAGDP5N
47,Subsidies: Motion picture and sound recording industries,SAGDP5N
79,Subsidies: Accommodation and food services,SAGDP5N
53,"Subsidies: Securities, commodity contracts, and other financial investments and related activities",SAGDP5N
19,Subsidies: Computer and electronic product manufacturing (334),SAGDP5N
27,Subsidies: Textile mills and textile product mills (313-314),SAGDP5N
30,Subsidies: Printing and related support activities (323),SAGDP5N
12,Subsidies: Manufacturing (31-33),SAGDP5N
89,Subsidies: Transportation and utilities,SAGDP5N
27,Subsidies: Textile mills and textile product mills,SAGDP5N
2,Subsidies: Private industries,SAGDP5N
10,Subsidies: Utilities,SAGDP5N
88,Subsidies: Trade,SAGDP5N
1,Subsidies: All industry total,SAGDP5N
56,Subsidies: Real estate and rental and leasing,SAGDP5N
12,Subsidies: Manufacturing,SAGDP5N
32,Subsidies: Chemical manufacturing,SAGDP5N
59,Subsidies: Professional and business services,SAGDP5N
59,"Subsidies: Professional and business services (54,55,56)",SAGDP5N
75,"Subsidies: Arts, entertainment, recreation, accommodation, and food services (71,72)",SAGDP5N
49,"Subsidies: Data processing, hosting, and other information services",SAGDP5N
45,Subsidies: Information,SAGDP5N
49,"Subsidies: Data processing, hosting, and other information services (518-519)",SAGDP5N
82,Subsidies: Other services (except government and government enterprises) (81),SAGDP5N
32,Subsidies: Chemical manufacturing (325),SAGDP5N
53,"Subsidies: Securities, commodity contracts, and other financial investments and related activities (523)",SAGDP5N
22,Subsidies: Other transportation equipment manufacturing,SAGDP5N
6,"Subsidies: Mining, quarrying, and oil and gas extraction (21)",SAGDP5N
74,Subsidies: Social assistance (624),SAGDP5N
83,Subsidies: Government and government enterprises,SAGDP5N
75,"Subsidies: Arts, entertainment, recreation, accommodation, and food services",SAGDP5N
77,"Subsidies: Performing arts, spectator sports, museums, and related activities (711-712)",SAGDP5N
45,Subsidies: Information (51),SAGDP5N
26,Subsidies: Food and beverage and tobacco product manufacturing,SAGDP5N
89,"Subsidies: Transportation and utilities (22,48-49)",SAGDP5N
80,Subsidies: Accommodation (721),SAGDP5N
31,Subsidies: Petroleum and coal products manufacturing,SAGDP5N
48,"Subsidies: Broadcasting (except Internet) and telecommunications (515,517)",SAGDP5N
64,Subsidies: Management of companies and enterprises,SAGDP5N
52,"Subsidies: Monetary Authorities- central bank, credit intermediation, and related services",SAGDP5N
31,Subsidies: Petroleum and coal products manufacturing (324),SAGDP5N
57,Subsidies: Real estate (531),SAGDP5N
76,"Subsidies: Arts, entertainment, and recreation (71)",SAGDP5N
3,"Subsidies: Agriculture, forestry, fishing and hunting (11)",SAGDP5N
57,Subsidies: Real estate,SAGDP5N
18,Subsidies: Machinery manufacturing,SAGDP5N
76,"Subsidies: Arts, entertainment, and recreation",SAGDP5N
9,Subsidies: Support activities for mining (213),SAGDP5N
58,Subsidies: Rental and leasing services and lessors of nonfinancial intangible assets (532-533),SAGDP5N
58,Subsidies: Rental and leasing services and lessors of nonfinancial intangible assets,SAGDP5N
56,Subsidies: Real estate and rental and leasing (53),SAGDP5N
4,Subsidies: Farms (111-112),SAGDP5N
38,Subsidies: Rail transportation (482),SAGDP5N
86,Subsidies: State and local,SAGDP5N
37,Subsidies: Air transportation,SAGDP5N
68,"Subsidies: Educational services, health care, and social assistance",SAGDP5N
7,Subsidies: Oil and gas extraction,SAGDP5N
70,Subsidies: Health care and social assistance (62),SAGDP5N
41,Subsidies: Transit and ground passenger transportation,SAGDP5N
24,Subsidies: Miscellaneous manufacturing,SAGDP5N
24,Subsidies: Miscellaneous manufacturing (339),SAGDP5N
15,Subsidies: Nonmetallic mineral product manufacturing (327),SAGDP5N
86,Subsidies: State and local,SAGDP5N
40,Subsidies: Truck transportation (484),SAGDP5N
66,Subsidies: Administrative and support services (561),SAGDP5N
67,Subsidies: Waste management and remediation services,SAGDP5N
65,Subsidies: Administrative and support and waste management and remediation services (56),SAGDP5N
14,Subsidies: Wood product manufacturing,SAGDP5N
1,Subsidies: All industry total,SAGDP5N
85,Subsidies: Military,SAGDP5N
7,Subsidies: Oil and gas extraction (211),SAGDP5N
85,Subsidies: Military,SAGDP5N
69,Subsidies: Educational services (61),SAGDP5N
39,Subsidies: Water transportation (483),SAGDP5N
36,Subsidies: Transportation and warehousing (48-49),SAGDP5N
67,Subsidies: Waste management and remediation services (562),SAGDP5N
37,Subsidies: Air transportation (481),SAGDP5N
39,Subsidies: Water transportation,SAGDP5N
70,Subsidies: Health care and social assistance,SAGDP5N
41,Subsidies: Transit and ground passenger transportation (485),SAGDP5N
25,Subsidies: Nondurable goods manufacturing,SAGDP5N
64,Subsidies: Management of companies and enterprises (55),SAGDP5N
91,Subsidies: Private goods-producing industries,SAGDP5N
92,Subsidies: Private services-providing industries,SAGDP5N
4,Subsidies: Farms,SAGDP5N
38,Subsidies: Rail transportation,SAGDP5N
68,"Subsidies: Educational services, health care, and social assistance (61,62)",SAGDP5N
84,Subsidies: Federal civilian,SAGDP5N
40,Subsidies: Truck transportation,SAGDP5N
15,Subsidies: Nonmetallic mineral product manufacturing,SAGDP5N
65,Subsidies: Administrative and support and waste management and remediation services,SAGDP5N
69,Subsidies: Educational services,SAGDP5N
14,Subsidies: Wood product manufacturing (321),SAGDP5N
66,Subsidies: Administrative and support services,SAGDP5N
92,Subsidies: Private services-providing industries,SAGDP5N
7,Taxes on production and imports: Oil and gas extraction,SAGDP6N
45,Taxes on production and imports: Information,SAGDP6N
59,"Taxes on production and imports: Professional and business services (54,55,56)",SAGDP6N
52,"Taxes on production and imports: Monetary Authorities- central bank, credit intermediation, and related services",SAGDP6N
32,Taxes on production and imports: Chemical manufacturing (325),SAGDP6N
86,Taxes on production and imports: State and local,SAGDP6N
73,Taxes on production and imports: Nursing and residential care facilities (623),SAGDP6N
75,"Taxes on production and imports: Arts, entertainment, recreation, accommodation, and food services (71,72)",SAGDP6N
1,Taxes on production and imports: All industry total,SAGDP6N
4,Taxes on production and imports: Farms,SAGDP6N
48,"Taxes on production and imports: Broadcasting (except Internet) and telecommunications (515,517)",SAGDP6N
80,Taxes on production and imports: Accommodation (721),SAGDP6N
5,"Taxes on production and imports: Forestry, fishing, and related activities",SAGDP6N
17,Taxes on production and imports: Fabricated metal product manufacturing (332),SAGDP6N
59,Taxes on production and imports: Professional and business services,SAGDP6N
20,"Taxes on production and imports: Electrical equipment, appliance, and component manufacturing (335)",SAGDP6N
32,Taxes on production and imports: Chemical manufacturing,SAGDP6N
3,"Taxes on production and imports: Agriculture, forestry, fishing and hunting",SAGDP6N
37,Taxes on production and imports: Air transportation (481),SAGDP6N
60,"Taxes on production and imports: Professional, scientific, and technical services",SAGDP6N
60,"Taxes on production and imports: Professional, scientific, and technical services (54)",SAGDP6N
3,"Taxes on production and imports: Agriculture, forestry, fishing and hunting (11)",SAGDP6N
11,Taxes on production and imports: Construction,SAGDP6N
44,Taxes on production and imports: Warehousing and storage (493),SAGDP6N
49,"Taxes on production and imports: Data processing, hosting, and other information services (518-519)",SAGDP6N
83,Taxes on production and imports: Government and government enterprises,SAGDP6N
10,Taxes on production and imports: Utilities (22),SAGDP6N
33,Taxes on production and imports: Plastics and rubber products manufacturing (326),SAGDP6N
88,"Taxes on production and imports: Trade (42,44-45)",SAGDP6N
82,Taxes on production and imports: Other services (except government and government enterprises) (81),SAGDP6N
66,Taxes on production and imports: Administrative and support services,SAGDP6N
22,"Taxes on production and imports: Other transportation equipment manufacturing (3364-3466,3369)",SAGDP6N
37,Taxes on production and imports: Air transportation,SAGDP6N
44,Taxes on production and imports: Warehousing and storage,SAGDP6N
33,Taxes on production and imports: Plastics and rubber products manufacturing,SAGDP6N
9,Taxes on production and imports: Support activities for mining (213),SAGDP6N
10,Taxes on production and imports: Utilities,SAGDP6N
14,Taxes on production and imports: Wood product manufacturing (321),SAGDP6N
74,Taxes on production and imports: Social assistance,SAGDP6N
49,"Taxes on production and imports: Data processing, hosting, and other information services",SAGDP6N
12,Taxes on production and imports: Manufacturing,SAGDP6N
24,Taxes on production and imports: Miscellaneous manufacturing,SAGDP6N
88,Taxes on production and imports: Trade,SAGDP6N
15,Taxes on production and imports: Nonmetallic mineral product manufacturing (327),SAGDP6N
22,Taxes on production and imports: Other transportation equipment manufacturing,SAGDP6N
6,"Taxes on production and imports: Mining, quarrying, and oil and gas extraction (21)",SAGDP6N
83,Taxes on production and imports: Government and government enterprises (92),SAGDP6N
74,Taxes on production and imports: Social assistance (624),SAGDP6N
66,Taxes on production and imports: Administrative and support services (561),SAGDP6N
6,"Taxes on production and imports: Mining, quarrying, and oil and gas extraction",SAGDP6N
80,Taxes on production and imports: Accommodation,SAGDP6N
75,"Taxes on production and imports: Arts, entertainment, recreation, accommodation, and food services",SAGDP6N
46,Taxes on production and imports: Publishing industries (except Internet),SAGDP6N
55,"Taxes on production and imports: Funds, trusts, and other financial vehicles",SAGDP6N
9,Taxes on production and imports: Support activities for mining,SAGDP6N
68,"Taxes on production and imports: Educational services, health care, and social assistance",SAGDP6N
26,Taxes on production and imports: Food and beverage and tobacco product manufacturing (311-312),SAGDP6N
8,Taxes on production and imports: Mining (except oil and gas) (212),SAGDP6N
55,"Taxes on production and imports: Funds, trusts, and other financial vehicles (525)",SAGDP6N
2,Taxes on production and imports: Private industries,SAGDP6N
78,"Taxes on production and imports: Amusement, gambling, and recreation industries",SAGDP6N
46,Taxes on production and imports: Publishing industries (except Internet) (511),SAGDP6N
47,Taxes on production and imports: Motion picture and sound recording industries (512),SAGDP6N
38,Taxes on production and imports: Rail transportation,SAGDP6N
18,Taxes on production and imports: Machinery manufacturing (333),SAGDP6N
78,"Taxes on production and imports: Amusement, gambling, and recreation industries (713)",SAGDP6N
30,Taxes on production and imports: Printing and related support activities,SAGDP6N
19,Taxes on production and imports: Computer and electronic product manufacturing,SAGDP6N
92,Taxes on production and imports: Private services-providing industries,SAGDP6N
40,Taxes on production and imports: Truck transportation,SAGDP6N
19,Taxes on production and imports: Computer and electronic product manufacturing (334),SAGDP6N
69,Taxes on production and imports: Educational services,SAGDP6N
15,Taxes on production and imports: Nonmetallic mineral product manufacturing,SAGDP6N
27,Taxes on production and imports: Textile mills and textile product mills,SAGDP6N
47,Taxes on production and imports: Motion picture and sound recording industries,SAGDP6N
77,"Taxes on production and imports: Performing arts, spectator sports, museums, and related activities",SAGDP6N
54,Taxes on production and imports: Insurance carriers and related activities (524),SAGDP6N
12,Taxes on production and imports: Manufacturing (31-33),SAGDP6N
79,Taxes on production and imports: Accommodation and food services (72),SAGDP6N
68,"Taxes on production and imports: Educational services, health care, and social assistance (61,62)",SAGDP6N
21,"Taxes on production and imports: Motor vehicles, bodies and trailers, and parts manufacturing",SAGDP6N
54,Taxes on production and imports: Insurance carriers and related activities,SAGDP6N
79,Taxes on production and imports: Accommodation and food services,SAGDP6N
89,Taxes on production and imports: Transportation and utilities,SAGDP6N
58,Taxes on production and imports: Rental and leasing services and lessors of nonfinancial intangible assets,SAGDP6N
70,Taxes on production and imports: Health care and social assistance (62),SAGDP6N
8,Taxes on production and imports: Mining (except oil and gas),SAGDP6N
91,Taxes on production and imports: Private goods-producing industries,SAGDP6N
45,Taxes on production and imports: Information (51),SAGDP6N
26,Taxes on production and imports: Food and beverage and tobacco product manufacturing,SAGDP6N
48,Taxes on production and imports: Broadcasting (except Internet) and telecommunications,SAGDP6N
69,Taxes on production and imports: Educational services (61),SAGDP6N
58,Taxes on production and imports: Rental and leasing services and lessors of nonfinancial intangible assets (532-533),SAGDP6N
67,Taxes on production and imports: Waste management and remediation services (562),SAGDP6N
76,"Taxes on production and imports: Arts, entertainment, and recreation",SAGDP6N
85,Taxes on production and imports: Military,SAGDP6N
57,Taxes on production and imports: Real estate,SAGDP6N
52,"Taxes on production and imports: Monetary Authorities- central bank, credit intermediation, and related services (521-522)",SAGDP6N
85,Taxes on production and imports: Military,SAGDP6N
76,"Taxes on production and imports: Arts, entertainment, and recreation (71)",SAGDP6N
57,Taxes on production and imports: Real estate (531),SAGDP6N
38,Taxes on production and imports: Rail transportation (482),SAGDP6N
31,Taxes on production and imports: Petroleum and coal products manufacturing (324),SAGDP6N
18,Taxes on production and imports: Machinery manufacturing,SAGDP6N
21,"Taxes on production and imports: Motor vehicles, bodies and trailers, and parts manufacturing (3361-3363)",SAGDP6N
1,Taxes on production and imports: All industry total,SAGDP6N
53,"Taxes on production and imports: Securities, commodity contracts, and other financial investments and related activities",SAGDP6N
77,"Taxes on production and imports: Performing arts, spectator sports, museums, and related activities (711-712)",SAGDP6N
24,Taxes on production and imports: Miscellaneous manufacturing (339),SAGDP6N
56,Taxes on production and imports: Real estate and rental and leasing,SAGDP6N
53,"Taxes on production and imports: Securities, commodity contracts, and other financial investments and related activities (523)",SAGDP6N
89,"Taxes on production and imports: Transportation and utilities (22,48-49)",SAGDP6N
31,Taxes on production and imports: Petroleum and coal products manufacturing,SAGDP6N
40,Taxes on production and imports: Truck transportation (484),SAGDP6N
56,Taxes on production and imports: Real estate and rental and leasing (53),SAGDP6N
82,Taxes on production and imports: Other services (except government and government enterprises),SAGDP6N
67,Taxes on production and imports: Waste management and remediation services,SAGDP6N
2,Taxes on production and imports: Private industries,SAGDP6N
30,Taxes on production and imports: Printing and related support activities (323),SAGDP6N
28,"Taxes on production and imports: Apparel, leather, and allied product manufacturing",SAGDP6N
27,Taxes on production and imports: Textile mills and textile product mills (313-314),SAGDP6N
87,"Taxes on production and imports: Natural resources and mining (11,21)",SAGDP6N
72,Taxes on production and imports: Hospitals,SAGDP6N
16,Taxes on production and imports: Primary metal manufacturing,SAGDP6N
23,Taxes on production and imports: Furniture and related product manufacturing (337),SAGDP6N
43,Taxes on production and imports: Other transportation and support activities,SAGDP6N
90,"Taxes on production and imports: Manufacturing and information (31-33,51)",SAGDP6N
81,Taxes on production and imports: Food services and drinking places (722),SAGDP6N
64,Taxes on production and imports: Management of companies and enterprises (55),SAGDP6N
29,Taxes on production and imports: Paper manufacturing,SAGDP6N
36,Taxes on production and imports: Transportation and warehousing (48-49),SAGDP6N
63,"Taxes on production and imports: Miscellaneous professional, scientific, and technical services (5412-5414,5416-5419)",SAGDP6N
29,Taxes on production and imports: Paper manufacturing (322),SAGDP6N
13,"Taxes on production and imports: Durable goods manufacturing (321,327-339)",SAGDP6N
23,Taxes on production and imports: Furniture and related product manufacturing,SAGDP6N
25,Taxes on production and imports: Nondurable goods manufacturing,SAGDP6N
34,Taxes on production and imports: Wholesale trade (42),SAGDP6N
14,Taxes on production and imports: Wood product manufacturing,SAGDP6N
42,Taxes on production and imports: Pipeline transportation,SAGDP6N
25,"Taxes on production and imports: Nondurable goods manufacturing (311-316,322-326)",SAGDP6N
72,Taxes on production and imports: Hospitals (622),SAGDP6N
17,Taxes on production and imports: Fabricated metal product manufacturing,SAGDP6N
71,Taxes on production and imports: Ambulatory health care services (621),SAGDP6N
39,Taxes on production and imports: Water transportation,SAGDP6N
28,"Taxes on production and imports: Apparel, leather, and allied product manufacturing (315-316)",SAGDP6N
35,Taxes on production and imports: Retail trade (44-45),SAGDP6N
5,"Taxes on production and imports: Forestry, fishing, and related activities (113-115)",SAGDP6N
51,Taxes on production and imports: Finance and insurance (52),SAGDP6N
86,Taxes on production and imports: State and local,SAGDP6N
42,Taxes on production and imports: Pipeline transportation (486),SAGDP6N
50,"Taxes on production and imports: Finance, insurance, real estate, rental, and leasing (52,53)",SAGDP6N
87,Taxes on production and imports: Natural resources and mining,SAGDP6N
71,Taxes on production and imports: Ambulatory health care services,SAGDP6N
61,Taxes on production and imports: Legal services,SAGDP6N
41,Taxes on production and imports: Transit and ground passenger transportation,SAGDP6N
92,Taxes on production and imports: Private services-providing industries,SAGDP6N
84,Taxes on production and imports: Federal civilian,SAGDP6N
35,Taxes on production and imports: Retail trade,SAGDP6N
43,"Taxes on production and imports: Other transportation and support activities (487-488,492)",SAGDP6N
20,"Taxes on production and imports: Electrical equipment, appliance, and component manufacturing",SAGDP6N
4,Taxes on production and imports: Farms (111-112),SAGDP6N
61,Taxes on production and imports: Legal services (5411),SAGDP6N
16,Taxes on production and imports: Primary metal manufacturing (331),SAGDP6N
51,Taxes on production and imports: Finance and insurance,SAGDP6N
90,Taxes on production and imports: Manufacturing and information,SAGDP6N
65,Taxes on production and imports: Administrative and support and waste management and remediation services,SAGDP6N
73,Taxes on production and imports: Nursing and residential care facilities,SAGDP6N
91,Taxes on production and imports: Private goods-producing industries,SAGDP6N
11,Taxes on production and imports: Construction (23),SAGDP6N
39,Taxes on production and imports: Water transportation (483),SAGDP6N
13,Taxes on production and imports: Durable goods manufacturing,SAGDP6N
34,Taxes on production and imports: Wholesale trade,SAGDP6N
64,Taxes on production and imports: Management of companies and enterprises,SAGDP6N
62,Taxes on production and imports: Computer systems design and related services,SAGDP6N
7,Taxes on production and imports: Oil and gas extraction (211),SAGDP6N
50,"Taxes on production and imports: Finance, insurance, real estate, rental, and leasing",SAGDP6N
84,Taxes on production and imports: Federal civilian,SAGDP6N
81,Taxes on production and imports: Food services and drinking places,SAGDP6N
63,"Taxes on production and imports: Miscellaneous professional, scientific, and technical services",SAGDP6N
41,Taxes on production and imports: Transit and ground passenger transportation (485),SAGDP6N
62,Taxes on production and imports: Computer systems design and related services (5415),SAGDP6N
65,Taxes on production and imports: Administrative and support and waste management and remediation services (56),SAGDP6N
70,Taxes on production and imports: Health care and social assistance,SAGDP6N
36,Taxes on production and imports: Transportation and warehousing,SAGDP6N
31,Gross operating surplus: Petroleum and coal products manufacturing (324),SAGDP7N
39,Gross operating surplus: Water transportation,SAGDP7N
76,"Gross operating surplus: Arts, entertainment, and recreation (71)",SAGDP7N
76,"Gross operating surplus: Arts, entertainment, and recreation",SAGDP7N
13,"Gross operating surplus: Durable goods manufacturing (321,327-339)",SAGDP7N
35,Gross operating surplus: Retail trade (44-45),SAGDP7N
62,Gross operating surplus: Computer systems design and related services,SAGDP7N
101,"Gross operating surplus: Government and government enterprises, overseas activity",SAGDP7N
56,Gross operating surplus: Real estate and rental and leasing,SAGDP7N
38,Gross operating surplus: Rail transportation (482),SAGDP7N
30,Gross operating surplus: Printing and related support activities (323),SAGDP7N
89,"Gross operating surplus: Transportation and utilities (22,48-49)",SAGDP7N
1,Gross operating surplus: All industry total,SAGDP7N
85,Gross operating surplus: Military,SAGDP7N
65,Gross operating surplus: Administrative and support and waste management and remediation services (56),SAGDP7N
57,Gross operating surplus: Real estate,SAGDP7N
52,"Gross operating surplus: Monetary Authorities- central bank, credit intermediation, and related services (521-522)",SAGDP7N
16,Gross operating surplus: Primary metal manufacturing,SAGDP7N
82,Gross operating surplus: Other services (except government and government enterprises),SAGDP7N
56,Gross operating surplus: Real estate and rental and leasing (53),SAGDP7N
7,Gross operating surplus: Oil and gas extraction (211),SAGDP7N
57,Gross operating surplus: Real estate (531),SAGDP7N
16,Gross operating surplus: Primary metal manufacturing (331),SAGDP7N
2,Gross operating surplus: Private industries,SAGDP7N
8,Gross operating surplus: Mining (except oil and gas),SAGDP7N
31,Gross operating surplus: Petroleum and coal products manufacturing,SAGDP7N
42,Gross operating surplus: Pipeline transportation (486),SAGDP7N
40,Gross operating surplus: Truck transportation (484),SAGDP7N
1,Gross operating surplus: All industry total,SAGDP7N
53,"Gross operating surplus: Securities, commodity contracts, and other financial investments and related activities",SAGDP7N
100,"Gross operating surplus: All industry total, overseas activity",SAGDP7N
29,Gross operating surplus: Paper manufacturing,SAGDP7N
18,Gross operating surplus: Machinery manufacturing,SAGDP7N
4,Gross operating surplus: Farms (111-112),SAGDP7N
86,Gross operating surplus: State and local,SAGDP7N
38,Gross operating surplus: Rail transportation,SAGDP7N
63,"Gross operating surplus: Miscellaneous professional, scientific, and technical services (5412-5414,5416-5419)",SAGDP7N
19,Gross operating surplus: Computer and electronic product manufacturing,SAGDP7N
90,"Gross operating surplus: Manufacturing and information (31-33,51)",SAGDP7N
79,Gross operating surplus: Accommodation and food services,SAGDP7N
54,Gross operating surplus: Insurance carriers and related activities,SAGDP7N
21,"Gross operating surplus: Motor vehicles, bodies and trailers, and parts manufacturing",SAGDP7N
91,Gross operating surplus: Private goods-producing industries,SAGDP7N
68,"Gross operating surplus: Educational services, health care, and social assistance (61,62)",SAGDP7N
100,"Gross operating surplus: All industry total, overseas activity",SAGDP7N
79,Gross operating surplus: Accommodation and food services (72),SAGDP7N
89,Gross operating surplus: Transportation and utilities,SAGDP7N
30,Gross operating surplus: Printing and related support activities,SAGDP7N
12,Gross operating surplus: Manufacturing (31-33),SAGDP7N
50,"Gross operating surplus: Finance, insurance, real estate, rental, and leasing",SAGDP7N
47,Gross operating surplus: Motion picture and sound recording industries,SAGDP7N
54,Gross operating surplus: Insurance carriers and related activities (524),SAGDP7N
36,Gross operating surplus: Transportation and warehousing,SAGDP7N
27,Gross operating surplus: Textile mills and textile product mills,SAGDP7N
92,Gross operating surplus: Private services-providing industries,SAGDP7N
84,Gross operating surplus: Federal civilian,SAGDP7N
69,Gross operating surplus: Educational services,SAGDP7N
11,Gross operating surplus: Construction (23),SAGDP7N
40,Gross operating surplus: Truck transportation,SAGDP7N
19,Gross operating surplus: Computer and electronic product manufacturing (334),SAGDP7N
64,Gross operating surplus: Management of companies and enterprises,SAGDP7N
63,"Gross operating surplus: Miscellaneous professional, scientific, and technical services",SAGDP7N
78,"Gross operating surplus: Amusement, gambling, and recreation industries (713)",SAGDP7N
84,Gross operating surplus: Federal civilian,SAGDP7N
15,Gross operating surplus: Nonmetallic mineral product manufacturing,SAGDP7N
81,Gross operating surplus: Food services and drinking places,SAGDP7N
77,"Gross operating surplus: Performing arts, spectator sports, museums, and related activities (711-712)",SAGDP7N
71,Gross operating surplus: Ambulatory health care services (621),SAGDP7N
53,"Gross operating surplus: Securities, commodity contracts, and other financial investments and related activities (523)",SAGDP7N
70,Gross operating surplus: Health care and social assistance (62),SAGDP7N
77,"Gross operating surplus: Performing arts, spectator sports, museums, and related activities",SAGDP7N
28,"Gross operating surplus: Apparel, leather, and allied product manufacturing (315-316)",SAGDP7N
46,Gross operating surplus: Publishing industries (except Internet),SAGDP7N
9,Gross operating surplus: Support activities for mining,SAGDP7N
55,"Gross operating surplus: Funds, trusts, and other financial vehicles",SAGDP7N
64,Gross operating surplus: Management of companies and enterprises (55),SAGDP7N
51,Gross operating surplus: Finance and insurance,SAGDP7N
8,Gross operating surplus: Mining (except oil and gas) (212),SAGDP7N
71,Gross operating surplus: Ambulatory health care services,SAGDP7N
50,"Gross operating surplus: Finance, insurance, real estate, rental, and leasing (52,53)",SAGDP7N
55,"Gross operating surplus: Funds, trusts, and other financial vehicles (525)",SAGDP7N
42,Gross operating surplus: Pipeline transportation,SAGDP7N
68,"Gross operating surplus: Educational services, health care, and social assistance",SAGDP7N
26,Gross operating surplus: Food and beverage and tobacco product manufacturing (311-312),SAGDP7N
2,Gross operating surplus: Private industries,SAGDP7N
78,"Gross operating surplus: Amusement, gambling, and recreation industries",SAGDP7N
25,Gross operating surplus: Nondurable goods manufacturing,SAGDP7N
46,Gross operating surplus: Publishing industries (except Internet) (511),SAGDP7N
47,Gross operating surplus: Motion picture and sound recording industries (512),SAGDP7N
